Töö Nr;Valmis;Valmis kpv;Detaili/koostu nimetus või joonise Nr;Kommentaar(tooriku/detaili seis, muu oluline info);Otsuse/Tegevuse vastutaja;Tooriku saabumise kuupäev EE;EE vajaduse kuupäev (koostamiseks valmis kujul);Meeldetuletus X päeva ennem;Töötluse algus;Alustatud;Alustamise kpv;EE töötluse lõpp;Töötlus Lõpetatud;Töötlus allhankes;Täitmise koht;EE kuupäev tarne;TE kuupäev tarne;Info sisestamise kuupäev;Tegevuse sisestaja nimi
w2503102;TRUE;;äärikud;;;;09.02.2026;2;06.02.2026;TRUE;;07.02.2026;FALSE;FALSE;Karusell;;;05.02.2026;Roman
w2503103;TRUE;;äärikud;;;;09.02.2026;2;06.02.2026;TRUE;;07.02.2026;FALSE;FALSE;Karusell;;;05.02.2026;Roman
W2503103;TRUE;;EST-A19756_r01_LOWER BLIND FLANGE;;;kohal;09.02.2026;11;06.02.2026;TRUE;;08.02.2026;TRUE;FALSE;Karusell;;;09.02.2026;Roman
W2503101;TRUE;;Vaheseinte parandus;;;kohal;12.02.2026;1;07.02.2026;TRUE;;12.02.2026;TRUE;FALSE;Tos;;;05.02.2026;Dmitri
w2502206;TRUE;;EST-A19080_02_Agitator blind flange;;;kohal;13.02.2026;4;09.02.2026;TRUE;;14.02.2026;TRUE;FALSE;Karusell;;;05.02.2026;Roman
w2502701;TRUE;;Väiksed detailid;;;kohal;13.02.2026;1;13.02.2026;TRUE;;13.02.2026;TRUE;FALSE;Tos;;;05.02.2026;Roman
W2503201;TRUE;;EST-A20346 N5;;;kohal;16.02.2026;7;11.02.2026;TRUE;;12.02.2026;TRUE;FALSE;;;;12.02.2026;Roman
w2503103;TRUE;19.03.2026;kamber EST-A19740;Keevitusel 05.03.26->13.03;;13.03.2026;16.02.2026;2;17.03.2026;TRUE;18.03.2026;18.03.2026;TRUE;FALSE;TOS;;;05.02.2026;Roman
Q26003;TRUE;;EST-A20576 | REV 01 | TUBE WELDING TEST PLATE;Joonis väljastatud 12.02.26;;kohal;18.02.2026;1;14.02.2026;FALSE;;;FALSE;FALSE;Tandix;;;13.02.2026;Alik
Q26002;TRUE;;;saadetud allhanke;;kohal;18.02.2026;1;14.02.2026;FALSE;;;FALSE;FALSE;Tandix;;;13.02.2026;Dmitri
Q26004;TRUE;;;saadetud allhanke joonis 13.02.2026 EST-A21038 | REV 00 | TUBE WELDING TEST PLATE | ;;kohal;18.02.2026;1;14.02.2026;FALSE;;;FALSE;FALSE;Tandix;;;13.02.2026;Dmitri
Q26005;TRUE;;;saadetud allhanke;;kohal;18.02.2026;1;14.02.2026;FALSE;;;FALSE;FALSE;Tandix;;;13.02.2026;Dmitri
w2102404;TRUE;;deaeratori kaelus;Spiraal ümbertöötlus;;kohal;18.02.2026;7;26.02.2026;TRUE;;27.02.2026;TRUE;FALSE;TOS;;;05.02.2026;Roman
W2502701;TRUE;;EST-A03395 DISC;;;kohal;20.02.2026;7;16.02.2026;TRUE;;;FALSE;FALSE;Multimill OÜ;20.02.2026;23.02.2026;12.02.2026;Roman
W2502701;TRUE;;EST-A03396_02_FLANGED SHAFT;;;kohal;20.02.2026;7;16.02.2026;TRUE;;;FALSE;FALSE;LDS Metall;20.02.2026;20.02.2026;12.02.2026;Roman
w2502401;TRUE;;EST-P98254_00_LOWER TUBESHEET;;;kohal;21.02.2026;7;14.02.2026;TRUE;;22.02.2026;TRUE;FALSE;Tos;;;05.02.2026;Roman
Q25034;TRUE;;;Joonis väljastatud 10.02.2026;;kohal;23.02.2026;7;14.02.2026;FALSE;;;FALSE;FALSE;Tandix;;;10.02.2026;Alik
Q25025;TRUE;;Forging Pre-Machined Square SA350LF2 200x200x50; Joonis väljastatud 10.02.2026;;20.02.2026;23.02.2026;7;;FALSE;;;FALSE;FALSE;Tandix;;;10.02.2026;Alik
Q25026;TRUE;;;Joonis väljastatud 10.02.2026;;20.02.2026;23.02.2026;7;;FALSE;;;FALSE;FALSE;Tandix;;;10.02.2026;Alik
w2502301;TRUE;;vaheseinad;joonis väljastatud;;kohal;26.02.2026;2;06.03.2026;TRUE;;07.03.2026;TRUE;FALSE;TOS;;;05.02.2026;Roman
w2503101;TRUE;;kambrid;karusel;;03.03.2026;26.02.2026;2;03.03.2026;TRUE;;03.03.2026;TRUE;FALSE;TOS;;;05.02.2026;Roman
w2503102;TRUE;;kambrid;;;04.03.2026;26.02.2026;2;03.03.2026;TRUE;;05.03.2026;TRUE;FALSE;Karusel;;;05.02.2026;Roman
w2503103;TRUE;;kambrid;;;05.03.2026;26.02.2026;2;03.03.2026;TRUE;;05.03.2026;TRUE;FALSE;Karusel;;;05.02.2026;Roman
w2503102;TRUE;;kambrid EST-A19727, EST-A19726;;;04.03.2026;26.02.2026;2;05.03.2026;TRUE;;06.03.2026;TRUE;FALSE;TOS;;;05.02.2026;Roman
w2102404;TRUE;;deaerator;;;kohal;27.02.2026;7;26.02.2026;TRUE;;26.02.2026;TRUE;FALSE;TOS;;;05.02.2026;Roman
w2502206;TRUE;;Kaante töötlus (ümbertegemine);;;na;27.02.2026;7;26.02.2026;TRUE;;27.02.2026;TRUE;FALSE;Karusel;;;26.02.2026;Alik
